N,Triton,Torch
256.000000,613.360438,684.838285
384.000000,766.626695,841.822541
512.000000,855.351240,930.044892
640.000000,994.635388,953.706565
768.000000,1055.517639,1027.254303
896.000000,1100.931335,1061.331315
1024.000000,1130.799094,1106.005155
1152.000000,1095.124594,621.139168
1280.000000,1140.755510,676.914744
1408.000000,1172.819733,731.029007
1536.000000,1196.401875,790.610726
1664.000000,1216.348013,824.706267
1792.000000,1252.921739,866.915378
1920.000000,1269.112863,913.626767
2048.000000,1283.937897,968.659577
2176.000000,1205.717026,986.555551
2304.000000,1230.161119,1029.985379
2432.000000,1254.468539,1068.406373
2560.000000,1263.767742,1101.457249
2688.000000,1274.970145,1115.657638
2816.000000,1282.861644,1153.215923
2944.000000,1302.138459,1183.617848
3072.000000,1315.843699,1197.242914
3200.000000,1322.069288,1212.466107
3328.000000,1332.139609,1240.029661
3456.000000,1340.117016,1265.152738
3584.000000,1344.097532,1273.424703
3712.000000,1356.429384,1292.614660
3840.000000,1359.835598,1317.025199
3968.000000,1369.174044,1328.294850
4096.000000,1365.610254,1345.954158
4224.000000,1336.927706,1149.667150
4352.000000,1344.856840,1162.683591
4480.000000,1355.022617,1177.686905
4608.000000,1355.845142,1198.051918
4736.000000,1362.093110,1196.035836
4864.000000,1365.141536,1210.790877
4992.000000,1368.890117,1231.495395
5120.000000,1372.813447,1247.961526
5248.000000,1375.595278,1251.583969
5376.000000,1373.117243,1278.805319
5504.000000,1387.016068,1293.581249
5632.000000,1388.027515,1308.588774
5760.000000,1397.377579,1317.444237
5888.000000,1390.431867,1336.229659
6016.000000,1402.447816,1345.424251
6144.000000,1406.434477,1369.119822
6272.000000,1412.358347,1368.144594
6400.000000,1411.600085,1378.930039
6528.000000,1410.236419,1383.635363
6656.000000,1415.588838,1398.453557
6784.000000,1419.159531,1413.782385
6912.000000,1424.681332,1421.936833
7040.000000,1420.783724,1431.219257
7168.000000,1424.415600,1437.599777
7296.000000,1433.466745,1443.405709
7424.000000,1426.355868,1447.877124
7552.000000,1429.555159,1457.982699
7680.000000,1435.997179,1461.851005
7808.000000,1436.868494,1468.175898
7936.000000,1433.416477,1473.039417
8064.000000,1440.782748,1479.665590
8192.000000,1441.421946,1483.399331
8320.000000,1400.447194,1398.867830
8448.000000,1391.570022,1400.479538
8576.000000,1397.633793,1390.437077
8704.000000,1394.314158,1398.120457
8832.000000,1392.826608,1397.602804
8960.000000,1404.367731,1410.899714
9088.000000,1409.924364,1411.315136
9216.000000,1410.324126,1422.165903
9344.000000,1408.973683,1418.907198
9472.000000,1410.863625,1427.499443
9600.000000,1414.075338,1432.560734
9728.000000,1410.126764,1438.196185
9856.000000,1412.421079,1437.237315
9984.000000,1408.339325,1449.221718
10112.000000,1417.543244,1453.164844
10240.000000,1415.564544,1462.270340
10368.000000,1429.077722,1461.397611
10496.000000,1419.896116,1465.962523
10624.000000,1416.108520,1464.126729
10752.000000,1394.649701,1472.219400
10880.000000,1420.597302,1477.744375
11008.000000,1427.809157,1473.969781
11136.000000,1421.132920,1481.557399
11264.000000,1426.064266,1487.494462
11392.000000,1428.123431,1484.734911
11520.000000,1422.775639,1493.497236
11648.000000,1436.734474,1495.787427
11776.000000,1436.046648,1498.554081
11904.000000,1441.670044,1507.470087
12032.000000,1424.684190,1511.225496
12160.000000,1429.116255,1515.183542
12288.000000,1432.379151,1415.192051
12416.000000,1446.991113,1395.184139
12544.000000,1441.141415,1393.925776
12672.000000,1449.038547,1393.045511
